Subject,downloadUrl,encodingFormat,type,má-podmínky-užití,má-vykonavatele-majetkových-práv-autorských-u-autorského-díla
https://blank_Nodes_IRI.org/664,https://www.gotobrno.cz/wp-content/uploads/2017/06/mestske-divadlo-brno.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1401,https://blank_Nodes_IRI.org/1402
https://blank_Nodes_IRI.org/1013,https://www.gotobrno.cz/wp-content/uploads/2024/05/cathedral-in-brno_edited-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1407,https://blank_Nodes_IRI.org/1408
https://blank_Nodes_IRI.org/69,https://www.gotobrno.cz/wp-content/uploads/2023/10/img_2051-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1409,https://blank_Nodes_IRI.org/1410
https://blank_Nodes_IRI.org/456,https://www.gotobrno.cz/wp-content/uploads/2024/09/rodinne-abonma-2-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1415,https://blank_Nodes_IRI.org/1416
https://blank_Nodes_IRI.org/976,https://www.gotobrno.cz/wp-content/uploads/2024/11/varhanici_tic_720x1080_2024_254.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1421,https://blank_Nodes_IRI.org/1422
https://blank_Nodes_IRI.org/535,https://www.gotobrno.cz/wp-content/uploads/2024/12/stazeny-soubor.png,http://www.iana.org/assignments/media-types/image/png,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1428,https://blank_Nodes_IRI.org/1429
https://blank_Nodes_IRI.org/690,https://www.gotobrno.cz/wp-content/uploads/2024/11/670d24068c6c3.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1434,https://blank_Nodes_IRI.org/1435
https://blank_Nodes_IRI.org/884,https://www.gotobrno.cz/wp-content/uploads/2017/06/sono-5.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1442,https://blank_Nodes_IRI.org/1443
https://blank_Nodes_IRI.org/711,https://www.gotobrno.cz/wp-content/uploads/2023/02/jak-to-ruplo-tisk-23-min-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1444,https://blank_Nodes_IRI.org/1445
https://blank_Nodes_IRI.org/173,https://www.gotobrno.cz/wp-content/uploads/2019/06/spilberk-panorama-gabzdyl.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1450,https://blank_Nodes_IRI.org/1451
https://blank_Nodes_IRI.org/530,https://www.gotobrno.cz/wp-content/uploads/2024/10/ivan-studio-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1456,https://blank_Nodes_IRI.org/1457
https://blank_Nodes_IRI.org/60,https://www.gotobrno.cz/wp-content/uploads/2017/06/mestske-divadlo-brno.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1463,https://blank_Nodes_IRI.org/1464
https://blank_Nodes_IRI.org/328,https://www.gotobrno.cz/wp-content/uploads/2017/12/jazzfest-1-scaled.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1469,https://blank_Nodes_IRI.org/1470
https://blank_Nodes_IRI.org/428,https://www.gotobrno.cz/wp-content/uploads/2024/10/432172356_793929319427151_3740849475386088378_n.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1475,https://blank_Nodes_IRI.org/1476
https://blank_Nodes_IRI.org/894,https://www.gotobrno.cz/wp-content/uploads/2024/05/mask-g556d1a5ff_1920.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1477,https://blank_Nodes_IRI.org/1478
https://blank_Nodes_IRI.org/489,https://www.gotobrno.cz/wp-content/uploads/2018/12/janackovo-divadlo.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1483,https://blank_Nodes_IRI.org/1484
https://blank_Nodes_IRI.org/1094,https://www.gotobrno.cz/wp-content/uploads/2019/03/0lb7643b-1.jpg,http://www.iana.org/assignments/media-types/image/jpeg,http://schema.org/CreativeWork,https://blank_Nodes_IRI.org/1489,https://blank_Nodes_IRI.org/1490
