Subject,type,alternative label (cs),alternative label (en),is in scheme,notation,preferred label (cs),preferred label (en),Temporal Coverage,note (cs),definition (cs),hasBeginning,hasEnd,inXSDDate,je-nespecifikovaný
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/2017,http://www.w3.org/2004/02/skos/core#Concept,Eurozóna (17),Euro-zone (17),1999-01-01,2017,Eurozóna (17),Euro-zone (17),34,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/2018,http://www.w3.org/2004/02/skos/core#Concept,Eurozóna (18),Euro-zone (18),1999-01-01,2018,Eurozóna (18),Euro-zone (18),37,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/2019,http://www.w3.org/2004/02/skos/core#Concept,Eurozóna (19),Euro area (19),1999-01-01,2019,Eurozóna (19),Euro area (19),40,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/2020,http://www.w3.org/2004/02/skos/core#Concept,Eurozóna (20),Euro area (20),1999-01-01,2020,Eurozóna (20),Euro area (20),43,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/2027,http://www.w3.org/2004/02/skos/core#Concept,Evropská unie (27_2020),European Union (27_2020),1999-01-01,2027,Evropská unie (27_2020),European Union (27_2020),46,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/2028,http://www.w3.org/2004/02/skos/core#Concept,Evropská unie (28),European Union (28),1999-01-01,2028,Evropská unie (28),European Union (28),49,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/2117,http://www.w3.org/2004/02/skos/core#Concept,Země mimo eurozónu (17),Extra-euro-zone (17),1999-01-01,2117,Země mimo eurozónu (17),Extra-euro-zone (17),52,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/2118,http://www.w3.org/2004/02/skos/core#Concept,Země mimo eurozónu (18),Extra-euro-zone (18),1999-01-01,2118,Země mimo eurozónu (18),Extra-euro-zone (18),55,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/2119,http://www.w3.org/2004/02/skos/core#Concept,Země mimo eurozónu (19),Extra-euro area (19),1999-01-01,2119,Země mimo eurozónu (19),Extra-euro area (19),61,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/2120,http://www.w3.org/2004/02/skos/core#Concept,Země mimo eurozónu (20),Extra-euro area (20),1999-01-01,2120,Země mimo eurozónu (20),Extra-euro area (20),64,,,,,,
https://rpp-opendata.egon.gov.cz/odrpp/zdroj/číselníky/42/položka/2127,http://www.w3.org/2004/02/skos/core#Concept,Země mimo Evropskou unii (27_2020),Extra-European Union (27_2020),1999-01-01,2127,Země mimo Evropskou unii (27_2020),Extra-European Union (27_2020),67,,,,,,
