duration (ms);size of RDF file (MB);conversion method;tables;first normal form;number of created CSVs;name of the original RDF file;date_time;time in parsing; time in converting; time in metadata; time in file write; time in zipping;;;#HODNOTA!;
21889;0.019590377807617188;basicQuery;one;true;1;Oil-products-2021-RDF-Turtle-Stream-r-n1-t0.ttl;20250104_210946;416;486;490;20489;8;;21889;0,936040934;
21649;0.019590377807617188;splitQuery;more;true;1;Oil-products-2021-RDF-Turtle-Stream-r-n1-t1.ttl;20250104_211330;376;365;344;20556;8;;21649;0,94951268;
21163;0.019590377807617188;splitQuery;more;false;1;Oil-products-2021-RDF-Turtle-Stream-r-n0-t1.ttl;20250104_211714;406;397;304;20048;8;;21163;0,947313708;
21108;0.00714111328125;splitQuery;more;true;1;museen-r-n1-t1.n3;20250104_211921;362;403;267;20069;7;;21108;0,950776957;
21268;0.00714111328125;basicQuery;one;true;1;museen-r-n1-t0.n3;20250104_212105;375;414;404;20067;8;;21268;0,943530186;
21348;0.00714111328125;basicQuery;one;false;1;museen-r-n0-t0.n3;20250104_212141;349;398;522;20072;7;;21348;0,940228593;
21076;0.00714111328125;splitQuery;more;false;1;museen-r-n0-t1.n3;20250104_212319;355;386;258;20071;6;;21076;0,95231543;
22971;0.3878459930419922;splitQuery;more;false;1;lombardia-r-n0-t1.rdf;20250104_212415;529;905;685;20841;11;;22971;0,907274389;
23193;0.3878459930419922;splitQuery;more;true;1;lombardia-r-n1-t1.rdf;20250104_212455;537;905;720;21016;15;;23193;0,906135472;
24735;0.3878459930419922;basicQuery;one;true;1;lombardia-r-n1-t0.rdf;20250104_212538;526;2638;768;20793;10;;24735;0,840630685;
24433;0.3878459930419922;basicQuery;one;true;1;lombardia-r-n1-t0.rdf;20250104_212619;441;2140;1199;20643;10;;24433;0,844881922;
24207;0.3878459930419922;basicQuery;one;false;1;lombardia-r-n0-t0.rdf;20250104_213020;449;2155;953;20640;10;;24207;0,852645929;
33320;0.19852638244628906;basicQuery;one;false;1;dosle-zadosti-o-duchod-v-cr-r-n0-t0.trig;20250104_213208;389;1182;11448;20295;6;;33320;0,609093637;
32325;0.19852638244628906;basicQuery;one;true;1;dosle-zadosti-o-duchod-v-cr-r-n1-t0.trig;20250104_213256;383;1006;9868;21056;12;;32325;0,651384377;
32604;0.19852638244628906;splitQuery;more;true;4;dosle-zadosti-o-duchod-v-cr-r-n1-t1.trig;20250104_213827;410;539;10999;20646;10;;32604;0,633235186;
31138;0.19852638244628906;splitQuery;more;false;4;dosle-zadosti-o-duchod-v-cr-r-n0-t1.trig;20250104_213915;391;540;9992;20208;7;;31138;0,648981951;
445;0.034302711486816406;splitQuery;more;true;1;ciselnik_42_19990101_ekonomicke_zony-r-n1-t1.jsonld;20250104_213941;-56769;540;9992;20208;26474;;445;45,41123596;
420;0.034302711486816406;splitQuery;more;true;1;ciselnik_42_19990101_ekonomicke_zony-r-n1-t1.jsonld;20250104_215629;-1064534;540;9992;20208;1034214;;420;48,11428571;
50414;0.034302711486816406;splitQuery;more;true;6;ciselnik_42_19990101_ekonomicke_zony-r-n1-t1.jsonld;20250104_220202;13604;781;15812;20207;10;;50414;0,4008212;
48121;0.034302711486816406;splitQuery;more;false;6;ciselnik_42_19990101_ekonomicke_zony-r-n0-t1.jsonld;20250104_220434;12423;791;14699;20200;8;;48121;0,41977515;
46511;0.034302711486816406;basicQuery;one;false;1;ciselnik_42_19990101_ekonomicke_zony-r-n0-t0.jsonld;20250104_220546;15124;997;10028;20356;6;;46511;0,437659908;
44111;0.034302711486816406;basicQuery;one;true;1;ciselnik_42_19990101_ekonomicke_zony-r-n1-t0.jsonld;20250104_220723;13388;1063;9328;20326;6;;44111;0,460792093;
22125;0.19461536407470703;basicQuery;one;false;1;dosle-zadosti-o-duchod-v-cr-r-n0-t0-bez-dat-ktera-nejsou-v-CSV.trig;20250105_000611;326;1067;538;20188;6;;22125;0,912451977;
