https://blank_Nodes_IRI.org/2074,4.925665970000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1554,1.659474280463354E1,https://blank_Nodes_IRI.org/2075
https://blank_Nodes_IRI.org/2075,4.920405406326666E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1560,1.659474280463354E1,https://blank_Nodes_IRI.org/2076
https://blank_Nodes_IRI.org/2076,4.920405406326666E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1567,1.660416239999995E1,https://blank_Nodes_IRI.org/2077
https://blank_Nodes_IRI.org/2077,4.919624830000001E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1575,1.661104820000003E1,https://blank_Nodes_IRI.org/2078
https://blank_Nodes_IRI.org/2078,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1581,1.658137575266728E1,https://blank_Nodes_IRI.org/2081
https://blank_Nodes_IRI.org/2081,4.92483681489142E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1587,1.658110265149472E1,https://blank_Nodes_IRI.org/2082
https://blank_Nodes_IRI.org/2082,4.920249214937198E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1593,1.66082596E1,https://blank_Nodes_IRI.org/2083
https://blank_Nodes_IRI.org/2083,4.9201543E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1594,1.656706050000003E1,https://blank_Nodes_IRI.org/2084
https://blank_Nodes_IRI.org/2084,4.91920224E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1600,1.659278798963024E1,https://blank_Nodes_IRI.org/2085
https://blank_Nodes_IRI.org/2085,4.919927181642814E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1606,1.661104820000003E1,https://blank_Nodes_IRI.org/2086
https://blank_Nodes_IRI.org/2086,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1612,1.660942699999998E1,https://blank_Nodes_IRI.org/2087
https://blank_Nodes_IRI.org/2087,4.91921197E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1620,1.661104820000003E1,https://blank_Nodes_IRI.org/2088
https://blank_Nodes_IRI.org/2088,4.91982349E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1626,1.659774589538574E1,https://blank_Nodes_IRI.org/2089
https://blank_Nodes_IRI.org/2089,4.920538330078125E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1632,1.66134713E1,https://blank_Nodes_IRI.org/2090
https://blank_Nodes_IRI.org/2090,4.91961952E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1639,1.6608123E1,https://blank_Nodes_IRI.org/2091
https://blank_Nodes_IRI.org/2091,4.9195051E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1647,1.661369579999996E1,https://blank_Nodes_IRI.org/2092
https://blank_Nodes_IRI.org/2092,4.91959064E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1654,1.661250599999994E1,https://blank_Nodes_IRI.org/2093
https://blank_Nodes_IRI.org/2093,4.91956227E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1660,1.6608123E1,https://blank_Nodes_IRI.org/2094
https://blank_Nodes_IRI.org/2094,4.9195051E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1666,1.660471456508414E1,https://blank_Nodes_IRI.org/2095
https://blank_Nodes_IRI.org/2095,4.919709990450339E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1667,1.661369579999996E1,https://blank_Nodes_IRI.org/2097
https://blank_Nodes_IRI.org/2097,4.91959064E1,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
https://blank_Nodes_IRI.org/1673,1.660416239999995E1,https://blank_Nodes_IRI.org/2098
